Time_Stamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Fault_Detection
12:28:25 PM,0,0,34.21,0,0,39.1,0
12:28:25 PM,0,0,0,0,0,43.99,0
12:28:25 PM,0,0,0,0,0,24.44,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,9.78,0,0
12:28:25 PM,0,0,131.96,0,43.99,34.21,0
12:28:25 PM,0,39.1,78.2,0,0,73.31,0
12:28:25 PM,0,0,78.2,0,0,39.1,0
12:28:25 PM,0,0,24.44,0,0,34.21,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,4.89,14.66,0,0,34.21,0,0
12:28:25 PM,0,0,107.53,0,19.55,48.88,0
12:28:25 PM,0,0,78.2,0,29.33,131.96,0
12:28:25 PM,0,0,83.09,0,24.44,78.2,0
12:28:25 PM,0,24.44,29.33,0,0,78.2,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,9.78,0,0,0,0,0
12:28:25 PM,0,9.78,0,0,9.78,0,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,0,0,0,34.21,0,0
12:28:25 PM,0,0,92.86,0,4.89,48.88,0
12:28:25 PM,0,0,102.64,0,0,117.3,0
12:28:25 PM,0,0,68.43,0,0,78.2,0
12:28:25 PM,0,0,29.33,0,0,92.86,0
12:28:25 PM,0,0,0,0,0,24.44,0
12:28:25 PM,0,0,0,9.78,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,14.66,0,0,0,0,0
12:28:25 PM,0,9.78,0,0,48.88,0,0
12:28:25 PM,0,0,39.1,0,48.88,0,0
12:28:25 PM,0,0,97.75,0,39.1,107.53,0
12:28:25 PM,0,0,63.54,4.89,0,127.08,0
12:28:25 PM,0,0,43.99,0,0,107.53,0
12:28:25 PM,0,0,0,4.89,0,92.86,0
12:28:25 PM,0,0,0,0,0,24.44,0
12:28:25 PM,0,4.89,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,24.44,0,0
12:28:25 PM,0,0,0,9.78,0,0,0
12:28:25 PM,0,9.78,127.08,0,0,83.09,0
12:28:25 PM,0,0,97.75,0,0,92.86,0
12:28:25 PM,0,0,78.2,0,4.89,58.65,0
12:28:25 PM,0,0,9.78,0,0,39.1,0
12:28:25 PM,0,0,0,0,0,29.33,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,0,0,0,0,0,0
12:28:25 PM,0,4.89,0,0,48.88,0,0
12:28:25 PM,0,0,0,0,29.33,0,0
12:28:25 PM,0,0,102.64,0,24.44,107.53,0
